产品网址：http://www.huitronic.com/product_show.php?id=180
产品结构：root->沟槽工艺肖特基--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|沟槽工艺肖特基|无|无|

Part No.,产品类别,电压,电流,VF,IR
10V45CT,沟槽工艺肖特基,45,10,,
10V60CT,沟槽工艺肖特基,60,10,,
10V100CT,沟槽工艺肖特基,100,10,,
20V45CT,沟槽工艺肖特基,45,20,,
20V60CT,沟槽工艺肖特基,60,20,0.4V,＜0.3mA
20V100CT,沟槽工艺肖特基,100,20,0.49V,＜0.1mA
20V120CT,沟槽工艺肖特基,120,20,0.54V,＜0.1mA
20V150CT,沟槽工艺肖特基,150,20,0.72V,＜0.1mA
20V200CT,沟槽工艺肖特基,200,20,0.72V,＜0.1mA
20V300CT,沟槽工艺肖特基,300,20,,
30V45CT,沟槽工艺肖特基,45,30,0.36V,＜0.3mA
30V60CT,沟槽工艺肖特基,60,30,0.38V,＜0.3mA
30V100CT,沟槽工艺肖特基,100,30,0.47V,＜0.1mA
40V45CT,沟槽工艺肖特基,45,40,0.36V,＜0.3mA
40V60CT,沟槽工艺肖特基,60,40,0.38V,＜0.3mA
