产品网址：http://www.huitronic.com/product_show.php?id=164
产品结构：root->车载充电DC-DC转换器--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|--|--|--|
|车载充电 DC-DC 转换器|无|无|

Part_No,Vin,Vout,Accuracy,Iout,Iq,Fosc,Effciency,Package
NDP1360KC,6.5~34V,Adj,1.50%,6A,1.5mA,135K,95%,SOP-8
NDP1331KC,6.5~34V,Adj,1.50%,2.4A,1.5mA,135K~300KHz可调,93%,SOP-8
NDP1480QB,6.5~40V,Adj,1.50%,8A,1.5mA,135K~300KHz可调,95%,QFN5*5
NDP1460QB,6.5~40V,Adj,1.50%,6A,1.5mA,135K~300KHz可调,95%,QFN5*5
NDP1450KC,6.5~40V,Adj,1.50%,4.8A,1.5mA,135K,95%,SOP-8
NDP1435KC,6.5~40V,Adj,1.50%,3.4A,1.5mA,135K~300KHz可调,95%,SOP-8
NDP1341KC,4.5~34V,5V,1.50%,4A,1.5mA,135K,95%,SOP-8
NDP1340KC,6.5~34V,Adj,1.50%,4A,1.5mA,135K~300KHz可调,95%,SOP-8
NDP1335KC,6.5~34V,Adj,1.50%,3.1A,1.5mA,135K,93%,SOP-8
SP3414,7.5V-40V,5.1V,±2%,4A,2mA,135KHz,94%,ESOP-8
SP3413,7.5V-40V,ADJ,±2%,3.5A,2mA,135KHz,95%,SOP-8L
SP3406,7V-40V,5.05V,±2%,5.5A,2mA,130KHz,96%,SOP-8L
SP3403,7V-40V,ADJ,±2%,3A,3mA,125KHz,92%,ESOP-8
SP3313,7V-36V,ADJ,±2%,3.5A,2mA,135KHz,95%,SOP-8L
SP3303,7V-35V,5V,±2%,3.4A,2mA,135KHz,95%,SOP-8L
