产品网址：http://www.szjincheng.com.cn/jishu_21.html
产品结构：root->技术服务-深圳市金城保密技术有限公司-为全国党政部门及港澳地区的党政系统提供保密产品、保密技术支持和服务

|产品名称|产品型号|功能描述|
|--|--|--|
|安全防护产品|无|无|
|防电磁泄漏设备|无|无|
|保密办公设备|无|无|
|反窃听设备|无|无|
|信息销毁产品|无|无|
|安全防护类咨询服务|无|无|
|涉密工程|无|无|
|保密检查|无|无|
|安全防护|无|无|
|保密宣教|无|无|
|保密技术服务|无|无|
|信息应用创新|无|无|
|技术服务|无|技术服务组织与有代表性的用户建立长期、稳定的联系，及时取得用户对产品的各种意见和要求，指导用户正确使用和保养产品。为提高技术服务质量，公司会及时把来自用户的各种信息反馈到设计、工艺和检查等专业部门，形成不断循环、不断提高的信息反馈系统。|
|维修维护服务|无|维修维护服务分为定期与长期服务。定期技术维修维护是按产品维修维护计划和服务项目所规定的维修维护类别进行的服务工作。长期技术维修维护是针对特殊产品、特殊用户制定的长期维修维护计划和服务项目，根据其产品及用户的特殊要求所制定的维修维护类别进行的服务工作。|
|数据恢复服务|无|为用户培训操作和维修人员。培训内容主要是讲解产品工作原理，帮助用户掌握操作技术和维护保养常识等，有必要还可在产品的模拟器或实物上进行实际的操作训练。|
|进口设备供应服务|无|向用户提供相应的进口设备及有关备品配件和易损件。|
|检验检测服务|无|为使产品能按设计规定有效运转所进行的测试、检查、监控工作，以及所需要的专用仪器仪表装置。|
|技术咨询与解决方案服务|无|从您有购买意向开始，公司将安排的专业工程师积极的介入，为您提供各种详尽的产品资料，帮助您了解、熟悉产品的特色外；更根据您的实际需求，提供相关的咨询和建议。在您有意向购买时，将为您提供单独的设计和技术，度身定制的合理选择方案，并向您提供售前、售中、产品说明书、使用说明书、维修手册以及易损件、备件|
|安装调试服务|无|技根据用户要求在现场（或指导用户）进行产品的安装调试工作，协助用户安装。|
