产品网址：https://en.taixin-semi.com/Product?productClassId=22
产品结构：root->珠海泰芯半导体有限公司-产品中心

|产品名称|产品型号|功能描述|
|--|--|--|
|电机驱动 MCU|TX32M2300(TXM2000)|本产品是一款高性能的 32 位微控制器，最高工作频率可达 72MHz，内置 32KB 高速 Flash 存储器，6KB SRAM，丰富的增强型 I/O 端口和外设连接到外部总线。包含 1 个 12 位的 ADC、一个 8 位精度 DAC、一个多功能比较器、3 个运算放大器、1 个 16 位高级定时器、5 个 16 位通用定时器、1 个 32 位通用定时器、1 个看门狗定时器、1 个系统时间定时器，还包含标准的通信接口：2 个 SPI/IIC 接口和 2 个 UART 接口，其中 UART0 可以实现从任意一条 pin 里面选择一条进行代码升级，内置一个 32 位除 16 位有无符号除法器。产品系列工作电压为 2.0V∼5.5V，工作温度范围-40◦C∼+105◦C。多种省电工作模式保证低功耗应用的要求。提供 LQFP32、SOP28、SOP24、SOP20 和 SSOP28、SSOP24、SSOP20、TSSOP20 8 种封装形式。适用于风机、风扇等，消费类电子，智能家居，电机驱动和应用控制，医疗和手持设备，工业控制，工业应用：可编程控制器（PLC）、变频器、打印机和扫描仪等多种应用场合。|

Add/Hide  Parameter List,Type,Encapsulated Type,Chip-Set,Max Speed  (MHz),Flash  (KB),RAM  (Byte),EEPROM  (Byte),GPIO,Working Voltage  (V),Temperature  （℃）,Advanced TM,GPTM,Watchdog,PWM,UART,SPI,IIC,ADC,DAC,ACMP,PGA,CRC,Code Encryption,LPM
Total:  4  Match:  4,,TSSOP20  LQFP32  SSOP28  SSOP24,,,,,,18  30  26  22,,,,,,,,,,8  10,,,,,,
Compare,,,,,,,,,,,,,,,,,,,,,,,,
Add/Hide  Parameter List,Type,Encapsulated Type,Chip-Set,Max Speed  (MHz),Flash  (KB),RAM  (Byte),EEPROM  (Byte),GPIO,Working Voltage  (V),Temperature  （℃）,Advanced TM,GPTM,Watchdog,PWM,UART,SPI,IIC,ADC,DAC,ACMP,PGA,CRC,Code Encryption,LPM
Total:  4  Match:  4,,TSSOP20  LQFP32  SSOP28  SSOP24,32Bit RISC,72,32,6144,√,18  30  26  22,2.0 ~ 5.5,-40 ~ 85,8*16bit,5*16bit 1*32bit,1,8,2,2,2,8  10,1,1,3,1,√,18ua
Compare,,,,,,,,,,,,,,,,,,,,,,,,
,TX32M2300SS24,SSOP24,32Bit RISC,72,32,6144,√,22,2.0 ~ 5.5,-40 ~ 85,8*16bit,5*16bit 1*32bit,1,8,2,2,2,8,1,1,3,1,√,18ua
,TX32M2300SS28,SSOP28,32Bit RISC,72,32,6144,√,26,2.0 ~ 5.5,-40 ~ 85,8*16bit,5*16bit 1*32bit,1,8,2,2,2,10,1,1,3,1,√,18ua
,TX32M2300LQ32,LQFP32,32Bit RISC,72,32,6144,√,30,2.0 ~ 5.5,-40 ~ 85,8*16bit,5*16bit 1*32bit,1,8,2,2,2,10,1,1,3,1,√,18ua
,TX32M2300TS20,TSSOP20,32Bit RISC,72,32,6144,√,18,2.0 ~ 5.5,-40 ~ 85,8*16bit,5*16bit 1*32bit,1,8,2,2,2,8,,1,3,1,√,18ua


Title,Version,Update time
TXM2000 系列数据手册 V1.0.7,V1.0.7,2021-12-24
TXM2000 用户手册 V1.0.6,V1.0.6,2021-12-24


Title,Version,Update time
TXM2000 软件开发工具包介绍,V1.0,2021-12-24
TXM2000_LB_V1.0,V1.0,2021-12-24
