产品网址：https://lthpc.com/products/detail/92
产品结构：root->G2232G3

|产品名称|产品型号|功能描述|
|----|----|----|
|GPU 服务器|G2232 G3|支持 Intel 最新一代的 Sapphire Rapids 架构 CPU，高达 32 槽位的内存扩展，支持的最大内存频率高达 5600MHz，最大内存容量可达 8TB。最大可支持 2 张全高全长双宽 GPU，可应用于人工智能、云计算、虚拟化、分布式存储等各种应用场景。基于创新的服务器硬件模块化设计理念和技术，充分利用存储及网络资源，可根据业务需求进行弹性配置，实现了优异的性价比和能耗比。|

处理器和芯片组,支持的处理器数量,2
处理器和芯片组,处理器插座,Socket E LGA-4677
处理器和芯片组,处理器类型,至强
处理器和芯片组,支持的处理器,白银44XX
处理器和芯片组,,白银45XX
处理器和芯片组,,黄金54XX
处理器和芯片组,,黄金55XX
处理器和芯片组,,黄金64XX
处理器和芯片组,,黄金65XX
处理器和芯片组,,铂金84XX
处理器和芯片组,,铂金85XX
处理器和芯片组,热设计功率 (TDP),350W
处理器和芯片组,芯片组制造商,英特尔
处理器和芯片组,芯片组型号,C741
内存,最大内存,8TB
内存,内存技术,DDR5
内存,内存标准,DDR5- 4400/4800/5600MHz ECC DDR5 RDIMM
内存,总内存槽数,32
硬盘,SATA3,SATA3 (6Gbps)
硬盘,,"RAID 0,1,5,10"
硬盘,NVMe,可选最大支持24个U.2 NVMe SSD
硬盘,M.2,2个M.2(2280/22110，PCIe 4.0 x4)
显示与图形,显示和图形图形控制器制造商,ASPEED
显示与图形,图形控制器模型,AST2600 BMC
I/O扩展,PCI Express,2个 PCI-E 4.0 x16 插槽
I/O扩展,,4个 PCI-E 4.0 x8 插槽
驱动器托架,热插拔,12个 3.5 英寸前置热插拔驱动器托架
驱动器托架,,4个2.5英寸后置热插拔驱动器托架
接口/端口,USB 3.0 端口总数,4
接口/端口,SATA接口数量,16
接口/端口,局域网,1个RJ45管理网口
接口/端口,板载视频,2个 VGA 接口
电源说明,电源数量,2
电源说明,冗余电源,是的
电源说明,最大电源功率,2000W
电源说明,认证,80Plus 铂金
物理特性,颜色,银白
物理特性,外形规格,机架式
物理特性,机架高度,2U
物理特性,高度,3.4''
物理特性,宽度,17.6''
物理特性,深度,30''
