产品网址：https://lthpc.com/products/detail/80
产品结构：root->SK223

|产品名称|产品型号|功能描述|
|----|----|----|
|服务器|SK223|面向互联网、IDC、分布式存储、云计算、大数据、企业业务以及电信业务应用等领域，采用鲲鹏 920 可扩展处理器，具有高网络带宽、高性能计算、大容量存储、低能耗、易管理、易部署等优点。特别适合对服务器有苛刻要求的大数据、商业智能、金融服务、公有及私有云等用户。|

处理器和芯片组,支持的处理器数量,2
处理器和芯片组,处理器插座,
处理器和芯片组,处理器类型,鲲鹏
处理器和芯片组,支持的处理器,鲲鹏920
处理器和芯片组,热设计功率 (TDP),180W
处理器和芯片组,芯片组制造商,华为
处理器和芯片组,芯片组型号,Armv8.2
内存,最大内存,4 TB
内存,内存技术,DDR4 NVDIMM
内存,内存标准,DDR4- 2933/2666MHz ECC DDR4 RDIMM/LRDIMM
内存,总内存槽数,32
硬盘,SATA3,SATA3 （6Gbps）
硬盘,NVMe,可选配
硬盘,M.2,
显示与图形,显示和图形图形控制器制造商,
显示与图形,图形控制器模型,
I/O扩展,PCI Express,8个 PCI-E 4.0 x16 插槽
I/O扩展,,或3个 PCI-E 4.0 x16+2个 PCI-E 4.0 x8 插槽
驱动器托架,热插拔,12个3.5 英寸热插拔驱动器托架
接口/端口,USB 3.0 端口总数,4
接口/端口,SATA接口数量,12
接口/端口,局域网,1个RJ45管理端口
接口/端口,,2个板载网络插卡
接口/端口,板载视频,1个VGA接口
电源说明,电源数量,2
电源说明,冗余电源,是的
电源说明,最大电源功率,900W / 2000W
电源说明,认证,80Plus 铂金
物理特性,颜色,银白
物理特性,外形规格,机架式
物理特性,机架高度,2U
物理特性,高度,86.1mm
物理特性,宽度,447mm
物理特性,深度,790mm
