产品网址：https://lthpc.com/products/detail/84
产品结构：root->SL423

|产品名称|产品型号|功能描述|
|----|----|----|
|服务器|SL423|基于龙芯 3C5000 处理器的 4U2 路高容量存储服务器，支持 8 个 DDR4 ECC RDIMMs 内存插槽，5 个 PCI-e 插槽，24 个 3.5 英寸热插拔驱动器托架，提供高达 432TB 的存储能力，适用于企业存储、云存储、高性能存储、数据备份等应用。具有均衡配置、大容量存储、全新架构、高扩展性、安全易用、智能运维、一流设计、可靠品质等特点。|

处理器和芯片组,支持的处理器数量,2
处理器和芯片组,处理器插座,
处理器和芯片组,处理器类型,龙芯
处理器和芯片组,支持的处理器,3C5000
处理器和芯片组,热设计功率 (TDP),150W
处理器和芯片组,芯片组制造商,龙芯
处理器和芯片组,芯片组型号,LoongArch ®
内存,最大内存,512G
内存,内存技术,DDR4
内存,内存标准,DDR4- 3200MHz ECC DDR4 RDIMM/LRDIMM
内存,总内存槽数,8
硬盘,SATA3,8
硬盘,NVMe,
硬盘,M.2,1个M.2
显示与图形,显示和图形图形控制器制造商,
显示与图形,图形控制器模型,
I/O扩展,PCI Express,1个PCIe 3.0 x 16插槽
I/O扩展,,4个PCIe 3.0 x 8 插槽
驱动器托架,热插拔,24个3.5 英寸热插拔驱动器托架
接口/端口,USB 3.0 端口总数,4
接口/端口,SATA接口数量,24
接口/端口,局域网,1个RJ45管理端口
接口/端口,,4个GE端口
接口/端口,板载视频,1个VGA显示端口
电源说明,电源数量,2
电源说明,冗余电源,是的
电源说明,最大电源功率,1300W
电源说明,认证,80Plus 铂金
物理特性,颜色,银白
物理特性,外形规格,机架式
物理特性,机架高度,4U
物理特性,高度,176mm
物理特性,宽度,437.5mm
物理特性,深度,650mm
